SIM_No,MC_Num,JB_Num,P_1,P_2,P_3,I_LB,N_1,N_2,N_3
0,20,100,670,632,590,542,58399595,59682795,46741335
1,20,100,667,635,592,590,55317395,56582154,50938473
2,20,100,652,622,577,526,59221872,57461442,55130051
3,20,100,691,639,587,553,55685158,52298969,39744168
4,20,100,659,610,566,541,52654463,55699876,54994714
5,20,100,647,625,606,533,57727603,56480267,40513396
6,20,100,658,611,575,539,55492245,57973431,48422263
7,20,100,653,612,580,548,56545635,56177647,48921413
8,20,100,676,629,596,547,58465791,58493057,69206870
9,20,100,665,609,592,545,57220157,57110689,51426050
10,20,100,660,624,615,540,56493547,58040607,54310069
11,20,100,666,621,606,562,57600492,55970358,41633139
12,20,100,669,618,600,550,55979096,56670512,55118434
13,20,100,690,647,601,541,57180554,57563524,51874145
14,20,100,669,637,601,548,56362291,57831825,52578110
15,20,100,660,624,583,537,57635450,56627285,49560987
16,20,100,658,628,603,549,62809163,59782720,53956037
17,20,100,687,629,585,543,58069981,58465080,49661749
18,20,100,644,603,561,550,56009527,56663373,59162741
19,20,100,662,643,600,550,56873079,59395139,53057735
20,20,100,673,634,581,566,56815371,60240183,42086682
21,20,100,669,622,603,533,56669327,57849699,44101640
22,20,100,667,611,584,538,58075968,56575344,52477853
23,20,100,672,627,574,532,60142823,58695578,55451711
24,20,100,684,629,572,570,58089431,56937382,50099921
25,20,100,659,623,580,537,57835230,61930802,48846255
26,20,100,677,629,595,550,55130065,54976771,42700529
27,20,100,640,601,560,544,56469457,56788246,49967721
28,20,100,671,612,579,521,57677760,57007842,45167450
29,20,100,666,618,581,557,54911660,56734061,49862078
30,20,100,651,629,569,536,55815311,62260012,52661701
31,20,100,705,636,582,533,59349571,56717310,57267890
32,20,100,648,627,609,544,55993796,57728110,46465133
33,20,100,672,622,603,553,55390174,58294130,50173641
34,20,100,679,636,603,551,59345903,57335241,52985227
35,20,100,680,632,625,558,54421499,56596228,50891441
36,20,100,665,620,580,559,55729502,55899731,54463072
37,20,100,664,633,601,559,55823691,56739429,53842871
38,20,100,674,654,603,565,57011748,57617779,58387375
39,20,100,659,642,584,564,57964813,60206039,57682967
40,20,100,667,638,595,540,58155361,58862559,55027065
41,20,100,671,629,588,561,56028988,60040496,49974861
42,20,100,648,607,573,551,60828311,57348430,51260975
43,20,100,671,629,603,540,56234949,58345280,56619080
44,20,100,674,639,604,538,57188061,56644796,49238379
45,20,100,667,612,598,565,56837236,57883066,45287051
