SIM_No,MC_Num,JB_Num,P_1,P_2,P_3,I_LB
0,5,20,109,109,114,109
1,5,20,122,122,122,122
2,5,20,110,110,117,102
3,5,20,116,116,116,116
4,5,20,107,109,111,103
5,5,20,112,112,115,111
6,5,20,113,113,113,113
7,5,20,117,117,117,117
8,5,20,130,124,128,123
9,5,20,113,113,117,113
10,5,20,115,115,115,115
11,5,20,120,122,112,108
12,5,20,114,114,111,111
13,5,20,113,113,119,108
14,5,20,101,104,103,101
15,5,20,111,104,92,90
16,5,20,118,114,114,114
17,5,20,107,107,107,107
18,5,20,115,115,115,115
19,5,20,119,119,118,118
20,5,20,111,112,109,107
21,5,20,121,124,120,118
22,5,20,120,120,130,109
23,5,20,109,109,109,109
24,5,20,125,125,125,125
25,5,20,121,121,120,120
26,5,20,126,122,114,114
27,5,20,113,112,120,112
28,5,20,122,122,125,122
29,5,20,124,124,129,120
30,5,20,118,118,123,118
31,5,20,122,116,120,116
32,5,20,113,113,113,113
33,5,20,115,114,119,105
34,5,20,118,118,118,118
35,5,20,119,118,122,118
36,5,20,116,113,109,102
37,5,20,104,104,106,104
38,5,20,109,109,109,109
39,5,20,124,124,124,124
