SIM_No,MC_Num,JB_Num,P_1,P_2,P_3,I_LB
0,20,100,670,632,590,542
1,20,100,667,635,592,590
2,20,100,652,622,577,526
3,20,100,691,639,587,553
4,20,100,659,610,566,541
5,20,100,647,625,606,533
6,20,100,658,611,575,539
7,20,100,653,612,580,548
8,20,100,676,629,596,547
9,20,100,665,609,592,545
10,20,100,660,624,615,540
11,20,100,666,621,606,562
12,20,100,669,618,600,550
13,20,100,690,647,601,541
14,20,100,669,637,601,548
15,20,100,660,624,583,537
16,20,100,658,628,603,549
17,20,100,687,629,585,543
18,20,100,644,603,561,550
19,20,100,662,643,600,550
20,20,100,673,634,581,566
21,20,100,669,622,603,533
22,20,100,667,611,584,538
23,20,100,672,627,574,532
24,20,100,684,629,572,570
25,20,100,659,623,580,537
26,20,100,677,629,595,550
27,20,100,640,601,560,544
28,20,100,671,612,579,521
29,20,100,666,618,581,557
30,20,100,651,629,569,536
31,20,100,705,636,582,533
32,20,100,648,627,609,544
33,20,100,672,622,603,553
34,20,100,679,636,603,551
35,20,100,680,632,625,558
36,20,100,665,620,580,559
37,20,100,664,633,601,559
38,20,100,674,654,603,565
39,20,100,659,642,584,564
