SIM_No,MC_Num,JB_Num,P_1,P_2,P_3,I_LB
0,10,10,83,84,100,74
1,10,10,82,87,88,60
2,10,10,95,92,94,68
3,10,10,94,92,98,64
4,10,10,87,85,85,65
5,10,10,81,81,85,67
6,10,10,83,77,83,65
7,10,10,82,82,81,67
8,10,10,76,74,72,58
9,10,10,81,81,82,68
10,10,10,81,81,82,62
11,10,10,82,82,82,71
12,10,10,81,81,83,73
13,10,10,78,80,85,64
14,10,10,82,81,81,59
15,10,10,79,79,79,65
16,10,10,83,83,84,70
17,10,10,78,78,78,62
18,10,10,83,83,85,83
19,10,10,84,83,80,67
20,10,10,78,78,79,64
21,10,10,87,87,86,69
22,10,10,86,86,86,71
23,10,10,90,90,89,71
24,10,10,76,76,77,62
25,10,10,93,93,92,74
26,10,10,81,79,79,64
27,10,10,85,85,89,69
28,10,10,78,78,81,67
29,10,10,78,78,78,62
30,10,10,77,77,85,63
31,10,10,83,83,85,78
32,10,10,81,82,80,62
33,10,10,87,94,94,71
34,10,10,82,82,83,66
35,10,10,71,74,75,58
36,10,10,76,76,74,65
37,10,10,77,77,77,61
38,10,10,81,79,79,62
39,10,10,87,85,85,67
