subject,part,score,reduction,outcome
staff_01,bedrail,0,0.142857142857143,0
staff_01,bedrail,0,0.692307692307692,0
staff_01,dispencer,0,,0
staff_01,handrail,0,,0
staff_01,chair,0,-0.333333333333333,0
staff_01,UBhandrail,0,1,0
staff_01,bedrail,0,1,0
staff_01,bedrail,0,1,0
staff_01,bedrail,0,1,0
staff_01,bedrail,0,1,0
staff_01,bedrail,0,1,0
staff_01,overhead_table,0,,0
staff_01,callbotton,0,,0
staff_01,doorhandle,0,,0
staff_01,bedrail,0,1,0
staff_01,bedrail,0,1,0
staff_01,bedrail,0,,0
staff_01,bedrail,0,,0
staff_01,overhead_table,0,,0
staff_01,callbotton,0,,0
staff_01,UBhandrail,0,,0
staff_01,bedrail,0,,0
staff_01,bedrail,0,,0
staff_01,bedrail,0,,0
staff_01,bedrail,0,,0
staff_01,bedside_table,0,1,0
staff_01,dispencer,0,,0
staff_01,UBlight_sw,0,,0
staff_01,doorhandle,0,,0
staff_01,UBhandrail,0,,0
staff_01,bedrail,0,,0
staff_01,bedrail,0,,0
staff_01,bedrail,0,,0
staff_01,bedrail,0,,0
staff_01,bedboard,0,,0
staff_01,bedside_table,0,,0
staff_01,handrail,0,,0
staff_01,doorhandle,0,,0
staff_01,UBhandrail,0,,0
staff_01,bedrail,0,,0
staff_01,bedrail,0,,0
staff_01,bedrail,0,,0
staff_01,bedrail,0,,0
staff_01,bedrail,0,,0
staff_01,bedside_table,0,,0
staff_01,UBlight_sw,0,,0
staff_01,bedrail,0,,0
staff_01,bedrail,0,,0
staff_01,bedrail,0,,0
staff_01,bedrail,0,,0
staff_01,overhead_table,0,,0
staff_01,callbotton,0,,0
staff_01,dispencer,0,,0
staff_01,UBlight_sw,0,,0
staff_01,bedrail,0,,1
staff_01,bedrail,0,,1
staff_01,overhead_table,0,,1
staff_01,bedside_table,0,,1
staff_01,dispencer,0,,1
staff_01,handrail,0,,1
staff_01,toilet_seat_switch,0,,1
staff_01,UBhandrail,0,,1
staff_01,bedrail,0,,0
staff_01,bedrail,0,,0
staff_01,bedrail,0,,0
staff_01,bedrail,0,,0
staff_01,callbotton,0,,0
staff_01,dispencer,0,,0
staff_01,UBlight_sw,0,,0
staff_01,chair,0,,0
staff_01,UBhandrail,0,,0
staff_01,bedrail,0.5,1,0
staff_01,bedboard,0.5,,0
staff_01,bedcontroller,0.5,,0
staff_01,overhead_table,0.5,1,0
staff_01,callbotton,0.5,,0
staff_01,bedrail,0.5,0.625,0
staff_01,chair,0.5,,0
staff_01,bedboard,0.5,,0
staff_01,tap,0.5,,0
staff_01,dispencer,0.5,,0
staff_01,bedboard,0.5,,0
staff_01,bedrail,1,1,0
staff_01,toiletseat,1,-0.4,0
staff_01,toiletseat,1,-1.66666666666667,0
staff_01,toiletseat,1,0.8,0
staff_01,tap,1,-0.5,0
staff_01,handrail,1,,0
staff_01,toilet_seat_switch,1,0.714285714285714,0
staff_01,toiletseat,1,1,0
staff_01,toiletseat,1,,0
staff_01,UBhandrail,1,1,0
staff_01,bedrail,1,,0
staff_01,bedboard,1,,0
staff_01,tap,1,,0
staff_01,handrail,1,,0
staff_01,toilet_seat_switch,1,0.923076923076923,0
