no,subject,date,room,part,score,reduction,outcome
1,staff_01,2018/06/01,565,bedrail,0,0.142857142857143,0
2,staff_01,2018/06/01,565,bedrail,0,0.692307692307692,0
3,staff_01,2018/06/01,565,dispencer,0,,0
4,staff_01,2018/06/01,565,handrail,0,,0
5,staff_01,2018/06/01,565,chair,0,-0.333333333333333,0
6,staff_01,2018/06/01,565,UBhandrail,0,1,0
7,staff_01,2018/06/12,708,bedrail,0,1,0
8,staff_01,2018/06/12,708,bedrail,0,1,0
9,staff_01,2018/06/12,708,bedrail,0,1,0
10,staff_01,2018/06/12,708,bedrail,0,1,0
11,staff_01,2018/06/12,708,bedrail,0,1,0
12,staff_01,2018/06/12,708,overhead_table,0,,0
13,staff_01,2018/06/12,708,callbotton,0,,0
14,staff_01,2018/06/12,708,doorhandle,0,,0
15,staff_01,2018/06/12,790,bedrail,0,1,0
16,staff_01,2018/06/12,790,bedrail,0,1,0
17,staff_01,2018/06/12,790,bedrail,0,,0
18,staff_01,2018/06/12,790,bedrail,0,,0
19,staff_01,2018/06/12,790,overhead_table,0,,0
20,staff_01,2018/06/12,790,callbotton,0,,0
21,staff_01,2018/06/12,790,UBhandrail,0,,0
22,staff_01,2018/06/26,1020,bedrail,0,,0
23,staff_01,2018/06/26,1020,bedrail,0,,0
24,staff_01,2018/06/26,1020,bedrail,0,,0
25,staff_01,2018/06/26,1020,bedrail,0,,0
26,staff_01,2018/06/26,1020,bedside_table,0,1,0
27,staff_01,2018/06/26,1020,dispencer,0,,0
28,staff_01,2018/06/26,1020,UBlight_sw,0,,0
29,staff_01,2018/06/26,1020,doorhandle,0,,0
30,staff_01,2018/06/26,1020,UBhandrail,0,,0
31,staff_01,2018/12/18,1002,bedrail,0,,0
32,staff_01,2018/12/18,1002,bedrail,0,,0
33,staff_01,2018/12/18,1002,bedrail,0,,0
34,staff_01,2018/12/18,1002,bedrail,0,,0
35,staff_01,2018/12/18,1002,bedboard,0,,0
36,staff_01,2018/12/18,1002,bedside_table,0,,0
37,staff_01,2018/12/18,1002,handrail,0,,0
38,staff_01,2018/12/18,1002,doorhandle,0,,0
39,staff_01,2018/12/18,1002,UBhandrail,0,,0
40,staff_01,2018/12/23,530,bedrail,0,,0
41,staff_01,2018/12/23,530,bedrail,0,,0
42,staff_01,2018/12/23,530,bedrail,0,,0
43,staff_01,2018/12/23,530,bedrail,0,,0
44,staff_01,2018/12/23,530,bedrail,0,,0
45,staff_01,2018/12/23,530,bedside_table,0,,0
46,staff_01,2018/12/23,530,UBlight_sw,0,,0
47,staff_01,2019/04/05,516,bedrail,0,,0
48,staff_01,2019/04/05,516,bedrail,0,,0
49,staff_01,2019/04/05,516,bedrail,0,,0
50,staff_01,2019/04/05,516,bedrail,0,,0
51,staff_01,2019/04/05,516,overhead_table,0,,0
52,staff_01,2019/04/05,516,callbotton,0,,0
53,staff_01,2019/04/05,516,dispencer,0,,0
54,staff_01,2019/04/05,516,UBlight_sw,0,,0
55,staff_01,2019/04/09,768,bedrail,0,,1
56,staff_01,2019/04/09,768,bedrail,0,,1
57,staff_01,2019/04/09,768,overhead_table,0,,1
58,staff_01,2019/04/09,768,bedside_table,0,,1
59,staff_01,2019/04/09,768,dispencer,0,,1
60,staff_01,2019/04/09,768,handrail,0,,1
61,staff_01,2019/04/09,768,toilet_seat_switch,0,,1
62,staff_01,2019/04/09,768,UBhandrail,0,,1
63,staff_01,2019/06/26,731,bedrail,0,,0
64,staff_01,2019/06/26,731,bedrail,0,,0
65,staff_01,2019/06/26,731,bedrail,0,,0
66,staff_01,2019/06/26,731,bedrail,0,,0
67,staff_01,2019/06/26,731,callbotton,0,,0
68,staff_01,2019/06/26,731,dispencer,0,,0
69,staff_01,2019/06/26,731,UBlight_sw,0,,0
70,staff_01,2019/06/26,731,chair,0,,0
71,staff_01,2019/06/26,731,UBhandrail,0,,0
72,staff_01,2018/06/01,565,bedrail,0.5,1,0
73,staff_01,2018/06/01,565,bedboard,0.5,,0
74,staff_01,2018/06/01,565,bedcontroller,0.5,,0
75,staff_01,2018/06/01,565,overhead_table,0.5,1,0
