É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2025/12/29 09:43:50

,,,,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû
îN,åé,ì˙,ójì˙,ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ìVãCäTãµ(íãÅF06éûÅ`18éû),ìVãCäTãµ(íãÅF06éûÅ`18éû),ìVãCäTãµ(íãÅF06éûÅ`18éû),ìVãCäTãµ(ñÈÅF18éûÅ`óÇì˙06éû),ìVãCäTãµ(ñÈÅF18éûÅ`óÇì˙06éû),ìVãCäTãµ(ñÈÅF18éûÅ`óÇì˙06éû),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm)
,,,,,,,,,,,,,,,,,,,,,,
,,,,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ
1946,1,1,âŒ,1.0,8,1,6.4,8,1,-4.6,8,1,,8,1,,8,1,0,1,8,1
1946,1,2,êÖ,1.4,8,1,7.4,8,1,-3.7,8,1,,8,1,,8,1,0,1,8,1
1946,1,3,ñÿ,3.6,8,1,8.9,8,1,-1.1,8,1,,8,1,,8,1,2.2,0,8,1
1946,1,4,ã‡,5.7,8,1,12.2,8,1,-0.1,8,1,,8,1,,8,1,2.1,0,8,1
1946,1,5,ìy,3.0,8,1,7.9,8,1,-0.8,8,1,,8,1,,8,1,0,1,8,1
1946,1,6,ì˙,-0.2,8,1,3.6,8,1,-2.8,8,1,,8,1,,8,1,0,1,8,1
1946,1,7,åé,2.1,8,1,11.8,8,1,-5.3,8,1,,8,1,,8,1,0,1,8,1
1946,1,8,âŒ,2.1,8,1,7.7,8,1,-2.5,8,1,,8,1,,8,1,0,1,8,1
1946,1,9,êÖ,5.0,8,1,14.7,8,1,-3.8,8,1,,8,1,,8,1,0,1,8,1
1946,1,10,ñÿ,2.1,8,1,5.6,8,1,-1.6,8,1,,8,1,,8,1,0,1,8,1
1946,1,11,ã‡,1.1,8,1,7.9,8,1,-4.3,8,1,,8,1,,8,1,0,1,8,1
1946,1,12,ìy,1.1,8,1,8.8,8,1,-4.8,8,1,,8,1,,8,1,0,1,8,1
1946,1,13,ì˙,1.6,8,1,8.2,8,1,-2.4,8,1,,8,1,,8,1,0,1,8,1
1946,1,14,åé,2.9,8,1,12.6,8,1,-3.6,8,1,,8,1,,8,1,0,1,8,1
1946,1,15,âŒ,5.7,8,1,12.6,8,1,-0.9,8,1,,8,1,,8,1,0.7,0,8,1
1946,1,16,êÖ,5.2,8,1,13.1,8,1,0.2,8,1,,8,1,,8,1,0,1,8,1
1946,1,17,ñÿ,0.8,8,1,6.0,8,1,-2.7,8,1,,8,1,,8,1,0,1,8,1
1946,1,18,ã‡,0.6,8,1,7.0,8,1,-5.5,8,1,,8,1,,8,1,0,1,8,1
1946,1,19,ìy,2.2,8,1,9.8,8,1,-4.6,8,1,,8,1,,8,1,0,1,8,1
1946,1,20,ì˙,3.7,8,1,10.8,8,1,-2.4,8,1,,8,1,,8,1,0,1,8,1
1946,1,21,åé,6.4,8,1,12.0,8,1,2.3,8,1,,8,1,,8,1,11.4,0,8,1
1946,1,22,âŒ,7.1,8,1,12.2,8,1,3.5,8,1,,8,1,,8,1,10.2,0,8,1
1946,1,23,êÖ,5.2,8,1,11.9,8,1,0.0,8,1,,8,1,,8,1,0,1,8,1
1946,1,24,ñÿ,6.7,8,1,15.8,8,1,-0.6,8,1,,8,1,,8,1,0,1,8,1
1946,1,25,ã‡,6.1,8,1,9.3,8,1,3.7,8,1,,8,1,,8,1,0.0,0,8,1
1946,1,26,ìy,5.6,8,1,8.2,8,1,4.2,8,1,,8,1,,8,1,0.0,0,8,1
1946,1,27,ì˙,5.6,8,1,7.6,8,1,4.0,8,1,,8,1,,8,1,5.9,0,8,1
1946,1,28,åé,4.8,8,1,9.4,8,1,-0.1,8,1,,8,1,,8,1,0.0,0,8,1
1946,1,29,âŒ,2.3,8,1,3.6,8,1,0.8,8,1,,8,1,,8,1,0.9,0,8,1
1946,1,30,êÖ,2.5,8,1,5.7,8,1,0.9,8,1,,8,1,,8,1,0,1,8,1
1946,1,31,ñÿ,4.1,8,1,10.0,8,1,-0.2,8,1,,8,1,,8,1,0,1,8,1
1946,2,1,ã‡,2.1,8,1,3.5,8,1,0.6,8,1,,8,1,,8,1,39.0,0,8,1
1946,2,2,ìy,3.6,8,1,8.5,8,1,1.4,8,1,,8,1,,8,1,0.7,0,8,1
1946,2,3,ì˙,1.6,8,1,5.3,8,1,-2.1,8,1,,8,1,,8,1,0,1,8,1
1946,2,4,åé,2.0,8,1,7.5,8,1,-2.6,8,1,,8,1,,8,1,0,1,8,1
1946,2,5,âŒ,3.4,8,1,9.2,8,1,0.2,8,1,,8,1,,8,1,0,1,8,1
1946,2,6,êÖ,4.3,8,1,10.0,8,1,1.2,8,1,,8,1,,8,1,0.3,0,8,1
1946,2,7,ñÿ,0.5,8,1,2.5,8,1,-0.8,8,1,,8,1,,8,1,6.7,0,8,1
1946,2,8,ã‡,3.5,8,1,9.9,8,1,-0.4,8,1,,8,1,,8,1,0.0,0,8,1
1946,2,9,ìy,3.4,8,1,8.2,8,1,0.8,8,1,,8,1,,8,1,0.0,0,8,1
1946,2,10,ì˙,1.6,8,1,7.3,8,1,-0.8,8,1,,8,1,,8,1,0.0,0,8,1
1946,2,11,åé,1.0,8,1,5.7,8,1,-3.6,8,1,,8,1,,8,1,0,1,8,1
1946,2,12,âŒ,4.2,8,1,12.2,8,1,-0.4,8,1,,8,1,,8,1,0,1,8,1
1946,2,13,êÖ,5.4,8,1,11.8,8,1,0.4,8,1,,8,1,,8,1,0,1,8,1
1946,2,14,ñÿ,7.1,8,1,14.2,8,1,0.0,8,1,,8,1,,8,1,0,1,8,1
1946,2,15,ã‡,8.7,8,1,15.9,8,1,1.2,8,1,,8,1,,8,1,0,1,8,1
1946,2,16,ìy,5.4,8,1,7.4,8,1,1.3,8,1,,8,1,,8,1,27.7,0,8,1
1946,2,17,ì˙,4.9,8,1,10.1,8,1,1.2,8,1,,8,1,,8,1,4.6,0,8,1
1946,2,18,åé,4.6,8,1,11.5,8,1,-0.4,8,1,,8,1,,8,1,0.0,0,8,1
1946,2,19,âŒ,3.2,8,1,8.2,8,1,0.0,8,1,,8,1,,8,1,0,1,8,1
1946,2,20,êÖ,5.2,8,1,13.6,8,1,-0.1,8,1,,8,1,,8,1,0,1,8,1
1946,2,21,ñÿ,4.6,8,1,10.0,8,1,1.1,8,1,,8,1,,8,1,0.0,0,8,1
1946,2,22,ã‡,2.1,8,1,7.2,8,1,-1.8,8,1,,8,1,,8,1,0,1,8,1
1946,2,23,ìy,2.6,8,1,8.4,8,1,-1.8,8,1,,8,1,,8,1,0,1,8,1
1946,2,24,ì˙,3.8,8,1,8.4,8,1,-1.8,8,1,,8,1,,8,1,0,1,8,1
1946,2,25,åé,7.9,8,1,16.9,8,1,2.0,8,1,,8,1,,8,1,15.5,0,8,1
1946,2,26,âŒ,7.4,8,1,12.2,8,1,1.8,8,1,,8,1,,8,1,0,1,8,1
1946,2,27,êÖ,7.3,8,1,10.0,8,1,4.6,8,1,,8,1,,8,1,0.9,0,8,1
1946,2,28,ñÿ,5.7,8,1,10.3,8,1,2.4,8,1,,8,1,,8,1,0.0,0,8,1
1946,3,1,ã‡,3.8,8,1,5.6,8,1,1.5,8,1,,8,1,,8,1,6.5,0,8,1
1946,3,2,ìy,4.9,8,1,8.0,8,1,2.3,8,1,,8,1,,8,1,2.7,0,8,1
1946,3,3,ì˙,2.3,8,1,4.2,8,1,0.4,8,1,,8,1,,8,1,40.7,0,8,1
1946,3,4,åé,5.7,8,1,11.1,8,1,2.4,8,1,,8,1,,8,1,3.4,0,8,1
1946,3,5,âŒ,8.5,8,1,14.2,8,1,3.1,8,1,,8,1,,8,1,0,1,8,1
1946,3,6,êÖ,8.1,8,1,11.5,8,1,5.7,8,1,,8,1,,8,1,0.1,0,8,1
1946,3,7,ñÿ,5.2,8,1,9.8,8,1,-0.9,8,1,,8,1,,8,1,0.0,0,8,1
1946,3,8,ã‡,0.9,8,1,4.9,8,1,-2.6,8,1,,8,1,,8,1,0,1,8,1
1946,3,9,ìy,3.0,8,1,9.6,8,1,-2.7,8,1,,8,1,,8,1,0,1,8,1
1946,3,10,ì˙,1.8,8,1,4.0,8,1,0.8,8,1,,8,1,,8,1,4.7,0,8,1
1946,3,11,åé,2.7,8,1,7.2,8,1,-0.8,8,1,,8,1,,8,1,0.1,0,8,1
1946,3,12,âŒ,1.5,8,1,5.1,8,1,-1.7,8,1,,8,1,,8,1,3.9,0,8,1
1946,3,13,êÖ,3.9,8,1,10.6,8,1,-0.2,8,1,,8,1,,8,1,3.7,0,8,1
1946,3,14,ñÿ,5.8,8,1,11.5,8,1,0.9,8,1,,8,1,,8,1,0,1,8,1
1946,3,15,ã‡,5.0,8,1,10.0,8,1,2.1,8,1,,8,1,,8,1,0,1,8,1
1946,3,16,ìy,3.9,8,1,7.4,8,1,1.0,8,1,,8,1,,8,1,0,1,8,1
1946,3,17,ì˙,2.1,8,1,3.9,8,1,-0.3,8,1,,8,1,,8,1,2.4,0,8,1
1946,3,18,åé,3.6,8,1,6.0,8,1,1.6,8,1,,8,1,,8,1,3.2,0,8,1
1946,3,19,âŒ,9.7,8,1,15.1,8,1,5.4,8,1,,8,1,,8,1,5.4,0,8,1
1946,3,20,êÖ,7.0,8,1,9.6,8,1,3.5,8,1,,8,1,,8,1,5.7,0,8,1
1946,3,21,ñÿ,5.6,8,1,10.8,8,1,1.5,8,1,,8,1,,8,1,0.0,0,8,1
1946,3,22,ã‡,5.8,8,1,11.3,8,1,0.3,8,1,,8,1,,8,1,0,1,8,1
1946,3,23,ìy,5.4,8,1,6.6,8,1,4.4,8,1,,8,1,,8,1,17.4,0,8,1
1946,3,24,ì˙,8.4,8,1,13.1,8,1,4.2,8,1,,8,1,,8,1,2.6,0,8,1
1946,3,25,åé,6.7,8,1,11.2,8,1,2.4,8,1,,8,1,,8,1,0.0,0,8,1
1946,3,26,âŒ,8.7,8,1,17.0,8,1,1.4,8,1,,8,1,,8,1,0,1,8,1
1946,3,27,êÖ,8.9,8,1,15.0,8,1,3.4,8,1,,8,1,,8,1,0,1,8,1
1946,3,28,ñÿ,9.8,8,1,14.5,8,1,2.5,8,1,,8,1,,8,1,1.2,0,8,1
1946,3,29,ã‡,16.2,8,1,21.6,8,1,12.6,8,1,,8,1,,8,1,0.0,0,8,1
1946,3,30,ìy,14.8,8,1,20.6,8,1,8.8,8,1,,8,1,,8,1,0,1,8,1
1946,3,31,ì˙,11.4,8,1,21.7,8,1,4.1,8,1,,8,1,,8,1,0,1,8,1
1946,4,1,åé,10.2,8,1,16.9,8,1,3.1,8,1,,8,1,,8,1,0,1,8,1
1946,4,2,âŒ,14.1,8,1,20.8,8,1,5.3,8,1,,8,1,,8,1,0,1,8,1
1946,4,3,êÖ,17.4,8,1,22.1,8,1,11.9,8,1,,8,1,,8,1,0.2,0,8,1
