ダウンロードした時刻：2025/12/29 09:30:03

,,,,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
年,月,日,曜日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm)
,,,,,,,,,,,,,,,,,,,,,,
,,,,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号
2006,1,1,日,3.6,8,1,5.6,8,1,0.9,8,1,曇,8,1,曇一時雨、みぞれを伴う,8,1,0.0,0,8,1
2006,1,2,月,4.0,8,1,5.7,8,1,2.4,8,1,雨時々曇,8,1,晴一時曇,8,1,2.5,0,8,1
2006,1,3,火,3.7,8,1,8.2,8,1,0.0,8,1,晴,8,1,晴後一時曇,8,1,0,1,8,1
2006,1,4,水,4.0,8,1,6.6,8,1,1.1,8,1,曇,8,1,曇,8,1,0,1,8,1
2006,1,5,木,3.6,8,1,6.7,8,1,1.1,8,1,曇後晴,8,1,晴後一時曇,8,1,0,1,8,1
2006,1,6,金,2.1,8,1,4.1,8,1,0.4,8,1,曇,8,1,曇後晴,8,1,0,1,8,1
2006,1,7,土,2.8,8,1,6.9,8,1,-0.4,8,1,晴,8,1,快晴,8,1,0,1,8,1
2006,1,8,日,4.2,8,1,8.3,8,1,0.5,8,1,快晴,8,1,快晴,8,1,0,1,8,1
2006,1,9,月,3.7,8,1,6.8,8,1,-0.1,8,1,晴一時曇,8,1,曇一時雨後雪,8,1,0.0,0,8,1
2006,1,10,火,4.3,8,1,7.6,8,1,0.9,8,1,曇後晴,8,1,晴,8,1,0.0,0,8,1
2006,1,11,水,6.1,8,1,10.7,8,1,1.6,8,1,快晴,8,1,晴一時曇,8,1,0,1,8,1
2006,1,12,木,6.1,8,1,11.0,8,1,2.6,8,1,快晴,8,1,晴後時々曇,8,1,0,1,8,1
2006,1,13,金,4.0,8,1,5.7,8,1,1.9,8,1,曇後一時雨,8,1,曇後一時雨,8,1,0.5,0,8,1
2006,1,14,土,6.6,8,1,10.7,8,1,4.1,8,1,曇後大雨、雷を伴う,8,1,雨後晴,8,1,48.5,0,8,1
2006,1,15,日,10.7,8,1,13.6,8,1,8.4,8,1,晴後曇,8,1,曇時々雨,8,1,0.5,0,8,1
2006,1,16,月,9.0,8,1,10.8,8,1,7.4,8,1,曇,8,1,曇時々雨,8,1,0.0,0,8,1
2006,1,17,火,8.0,8,1,11.5,8,1,4.8,8,1,曇時々晴,8,1,曇一時晴,8,1,0.0,0,8,1
2006,1,18,水,5.6,8,1,8.8,8,1,3.7,8,1,曇後一時晴,8,1,晴,8,1,0,1,8,1
2006,1,19,木,4.2,8,1,8.2,8,1,2.6,8,1,晴一時薄曇,8,1,薄曇,8,1,0,1,8,1
2006,1,20,金,4.0,8,1,6.6,8,1,1.5,8,1,薄曇,8,1,曇後雨一時雪,8,1,0.0,0,8,1
2006,1,21,土,1.3,8,1,4.5,8,1,0.0,8,1,雪,8,1,雪一時曇後晴,8,1,15.0,0,8,1
2006,1,22,日,3.1,8,1,5.0,8,1,1.5,8,1,晴後一時曇,8,1,晴,8,1,0,1,8,1
2006,1,23,月,2.5,8,1,5.3,8,1,-1.1,8,1,晴,8,1,快晴,8,1,0.0,0,8,1
2006,1,24,火,4.4,8,1,9.5,8,1,-0.7,8,1,晴,8,1,晴,8,1,0,1,8,1
2006,1,25,水,5.5,8,1,9.5,8,1,1.8,8,1,晴一時薄曇,8,1,晴,8,1,0,1,8,1
2006,1,26,木,6.0,8,1,11.4,8,1,1.6,8,1,快晴,8,1,快晴,8,1,0,1,8,1
2006,1,27,金,6.8,8,1,11.1,8,1,3.9,8,1,快晴,8,1,晴一時曇,8,1,0.0,0,8,1
2006,1,28,土,5.5,8,1,9.1,8,1,3.1,8,1,快晴,8,1,快晴,8,1,0,1,8,1
2006,1,29,日,6.0,8,1,10.5,8,1,0.5,8,1,快晴,8,1,晴,8,1,0,1,8,1
2006,1,30,月,8.4,8,1,14.7,8,1,2.1,8,1,晴,8,1,晴,8,1,0,1,8,1
2006,1,31,火,7.1,8,1,9.8,8,1,5.1,8,1,曇後雨,8,1,雨,8,1,0.0,0,8,1
2006,2,1,水,5.7,8,1,8.1,8,1,4.7,8,1,大雨,8,1,晴一時雨,8,1,45.0,0,8,1
2006,2,2,木,7.8,8,1,10.5,8,1,5.3,8,1,曇一時晴,8,1,晴一時曇,8,1,0,1,8,1
2006,2,3,金,6.0,8,1,12.4,8,1,0.6,8,1,晴一時薄曇,8,1,曇後晴,8,1,0,1,8,1
2006,2,4,土,1.6,8,1,5.1,8,1,-0.9,8,1,快晴,8,1,晴,8,1,0,1,8,1
2006,2,5,日,1.9,8,1,6.7,8,1,-1.5,8,1,快晴,8,1,晴後薄曇,8,1,0,1,8,1
2006,2,6,月,2.0,8,1,3.9,8,1,-0.1,8,1,曇,8,1,雪時々雨一時曇,8,1,0.0,0,8,1
2006,2,7,火,3.6,8,1,8.3,8,1,0.3,8,1,曇一時雨,8,1,快晴,8,1,7.0,0,8,1
2006,2,8,水,7.9,8,1,12.9,8,1,3.0,8,1,晴後曇,8,1,晴一時曇,8,1,0.0,0,8,1
2006,2,9,木,4.6,8,1,7.4,8,1,2.6,8,1,晴,8,1,快晴,8,1,0,1,8,1
2006,2,10,金,5.6,8,1,12.0,8,1,-0.3,8,1,快晴,8,1,快晴,8,1,0,1,8,1
2006,2,11,土,7.5,8,1,12.8,8,1,2.0,8,1,快晴,8,1,晴,8,1,0,1,8,1
2006,2,12,日,4.6,8,1,7.9,8,1,2.3,8,1,晴,8,1,快晴,8,1,0,1,8,1
2006,2,13,月,5.7,8,1,10.6,8,1,-0.4,8,1,晴,8,1,快晴,8,1,0,1,8,1
2006,2,14,火,10.5,8,1,18.7,8,1,2.3,8,1,晴一時薄曇,8,1,晴,8,1,0,1,8,1
2006,2,15,水,14.1,8,1,19.9,8,1,8.1,8,1,晴,8,1,曇後雨,8,1,0.0,0,8,1
2006,2,16,木,7.5,8,1,12.1,8,1,6.0,8,1,霧雨時々雨,8,1,雨後一時曇,8,1,6.5,0,8,1
2006,2,17,金,7.0,8,1,9.6,8,1,3.8,8,1,曇,8,1,曇一時雪後晴,8,1,0.5,0,8,1
2006,2,18,土,4.4,8,1,7.0,8,1,1.1,8,1,晴後曇,8,1,曇,8,1,0.0,0,8,1
2006,2,19,日,7.0,8,1,9.6,8,1,4.0,8,1,曇,8,1,曇,8,1,0,1,8,1
2006,2,20,月,6.4,8,1,8.7,8,1,4.0,8,1,雨一時曇,8,1,曇一時雨,8,1,19.0,0,8,1
2006,2,21,火,8.0,8,1,10.9,8,1,4.2,8,1,曇,8,1,曇,8,1,0,1,8,1
2006,2,22,水,10.8,8,1,15.2,8,1,8.0,8,1,曇後晴,8,1,曇,8,1,0,1,8,1
2006,2,23,木,11.2,8,1,15.4,8,1,8.5,8,1,曇一時晴,8,1,曇,8,1,0,1,8,1
2006,2,24,金,6.5,8,1,8.8,8,1,5.1,8,1,曇後時々雨,8,1,雨後一時晴,8,1,6.0,0,8,1
2006,2,25,土,7.8,8,1,11.5,8,1,4.7,8,1,晴後曇,8,1,曇一時晴,8,1,0.0,0,8,1
2006,2,26,日,7.5,8,1,10.8,8,1,5.4,8,1,雨,8,1,曇一時雨,8,1,29.0,0,8,1
2006,2,27,月,8.6,8,1,10.8,8,1,5.3,8,1,曇,8,1,曇,8,1,0,1,8,1
2006,2,28,火,4.6,8,1,5.6,8,1,3.3,8,1,曇,8,1,雨一時霧雨,8,1,0.0,0,8,1
2006,3,1,水,5.7,8,1,8.4,8,1,2.9,8,1,雨,8,1,雨後曇,8,1,35.5,0,8,1
2006,3,2,木,8.2,8,1,10.3,8,1,6.8,8,1,曇後一時雨,8,1,曇時々雨,8,1,0.5,0,8,1
2006,3,3,金,6.4,8,1,10.3,8,1,3.6,8,1,曇後一時雨,8,1,曇後晴,8,1,0.0,0,8,1
2006,3,4,土,6.7,8,1,10.0,8,1,3.2,8,1,快晴,8,1,快晴,8,1,0,1,8,1
2006,3,5,日,8.3,8,1,12.9,8,1,3.2,8,1,快晴,8,1,晴後薄曇,8,1,0,1,8,1
2006,3,6,月,11.8,8,1,17.6,8,1,5.3,8,1,曇,8,1,曇,8,1,0,1,8,1
2006,3,7,火,9.9,8,1,11.8,8,1,8.4,8,1,曇後一時晴,8,1,曇後晴,8,1,0.0,0,8,1
2006,3,8,水,12.3,8,1,19.0,8,1,6.2,8,1,快晴,8,1,曇一時晴,8,1,0,1,8,1
2006,3,9,木,8.9,8,1,11.8,8,1,7.2,8,1,曇,8,1,曇後一時雨,8,1,0.0,0,8,1
2006,3,10,金,8.0,8,1,9.5,8,1,6.6,8,1,雨,8,1,曇一時雨後晴,8,1,2.5,0,8,1
2006,3,11,土,11.6,8,1,15.7,8,1,6.7,8,1,晴,8,1,晴後曇,8,1,0,1,8,1
2006,3,12,日,13.8,8,1,19.0,8,1,5.4,8,1,曇一時晴,8,1,曇後時々雨,8,1,0,1,8,1
2006,3,13,月,5.5,8,1,8.1,8,1,3.1,8,1,曇時々晴後一時雪,8,1,曇時々晴,8,1,0.0,0,8,1
2006,3,14,火,5.3,8,1,9.5,8,1,1.5,8,1,晴後曇,8,1,快晴,8,1,0.0,0,8,1
2006,3,15,水,8.4,8,1,13.5,8,1,2.0,8,1,快晴,8,1,快晴,8,1,0,1,8,1
2006,3,16,木,11.7,8,1,16.6,8,1,5.3,8,1,晴後曇一時雨,8,1,雨後曇一時晴,8,1,24.0,0,8,1
2006,3,17,金,13.2,8,1,17.0,8,1,10.7,8,1,曇後晴,8,1,晴一時曇,8,1,0.0,0,8,1
2006,3,18,土,12.3,8,1,16.6,8,1,7.0,8,1,晴後曇一時雨,8,1,曇後一時雨,8,1,1.0,0,8,1
2006,3,19,日,9.7,8,1,15.6,8,1,4.5,8,1,曇一時雨後晴,8,1,快晴,8,1,2.0,0,8,1
2006,3,20,月,8.5,8,1,14.1,8,1,3.6,8,1,快晴,8,1,快晴,8,1,0,1,8,1
2006,3,21,火,11.7,8,1,16.7,8,1,6.8,8,1,晴,8,1,晴,8,1,0,1,8,1
2006,3,22,水,10.3,8,1,13.6,8,1,7.3,8,1,晴後曇,8,1,雨,8,1,6.5,0,8,1
2006,3,23,木,10.4,8,1,14.1,8,1,7.1,8,1,雨後薄曇,8,1,曇一時雨,8,1,4.5,0,8,1
2006,3,24,金,11.2,8,1,15.0,8,1,8.4,8,1,曇,8,1,曇,8,1,0.0,0,8,1
