year,month,date,day,average,max,min,daytime,nighttime,precipitation
2026,1,10,土,9.3,14.9,1.5,快晴,晴後一時薄曇,0.0
2026,1,11,日,11.0,16.1,4.0,晴時々曇,快晴,0
2026,1,12,月,4.7,9.5,0.0,快晴,晴,0
2026,1,13,火,8.3,16.1,0.2,快晴,快晴,0
2026,1,14,水,7.2,12.0,3.3,快晴,晴,0
2026,1,15,木,8.0,12.5,1.7,晴後薄曇,晴一時薄曇,0
2026,1,16,金,11.3,17.8,5.0,快晴,晴,0
2026,1,17,土,9.7,15.3,5.0,快晴,快晴,0
2026,1,18,日,9.2,13.4,6.1,快晴,曇一時晴,0
2026,1,19,月,8.7,13.9,5.2,晴一時曇,晴一時薄曇,0
2026,1,20,火,5.9,9.1,2.3,曇一時晴,曇,0
2026,1,21,水,3.6,7.0,1.8,曇後一時晴,曇一時雨後晴,0.0
2026,1,22,木,2.5,6.9,-0.2,晴,快晴,0
2026,1,23,金,3.4,9.4,-2.0,快晴,快晴,0
2026,1,24,土,4.7,11.0,-1.3,晴,晴,0
2026,1,25,日,3.7,7.6,1.2,晴,晴後一時薄曇,0
2026,1,26,月,4.2,8.6,-0.9,晴時々薄曇,曇,0
2026,1,27,火,5.4,10.1,2.3,晴一時曇,快晴,0
2026,1,28,水,5.5,8.1,2.0,曇一時晴,曇後時々晴,0
2026,1,29,木,4.8,10.4,1.1,晴後一時曇、みぞれを伴う,曇一時雪後晴,0.0
2026,1,30,金,3.9,9.3,-0.5,晴,快晴,0
2026,1,31,土,4.7,9.8,0.9,晴,晴後一時薄曇,0
2026,2,1,日,5.5,11.1,-0.2,晴,晴後一時曇,0
2026,2,2,月,6.4,12.0,2.7,晴時々曇,晴一時曇,0
2026,2,3,火,5.8,10.8,1.6,快晴,晴時々曇,0
2026,2,4,水,6.3,11.4,1.6,晴後一時薄曇,薄曇後晴,0
2026,2,5,木,7.8,13.8,2.7,晴後薄曇,晴一時薄曇,0
2026,2,6,金,9.0,16.1,2.6,晴時々薄曇,曇一時晴,0
2026,2,7,土,3.8,6.9,1.3,曇時々雪一時みぞれ,みぞれ後雪,0.0
2026,2,8,日,-0.7,2.0,-2.5,雪後曇,晴一時曇,4.5
2026,2,9,月,2.8,9.2,-3.2,快晴,快晴,0
2026,2,10,火,5.5,10.9,0.4,曇時々晴,曇時々晴一時雨,0
2026,2,11,水,6.1,10.5,2.7,雨後曇,晴時々曇,5.0
2026,2,12,木,6.7,11.6,2.9,曇後晴,晴後一時曇,0
2026,2,13,金,7.1,12.6,1.8,曇後晴,快晴,0
2026,2,14,土,9.1,15.1,2.9,晴後薄曇,曇後一時晴,0
2026,2,15,日,11.9,18.4,6.1,快晴,晴後一時薄曇,0
2026,2,16,月,10.6,16.7,4.3,曇時々晴,雨後一時曇,5.5
2026,2,17,火,5.8,9.0,3.1,曇,曇一時雨,0.5
2026,2,18,水,7.6,12.5,4.9,晴,快晴,0.0
2026,2,19,木,5.5,11.1,2.1,快晴,晴時々曇,0
2026,2,20,金,5.9,10.7,2.0,薄曇一時晴,晴一時曇,0
2026,2,21,土,8.8,15.7,2.5,快晴,快晴,0
2026,2,22,日,12.0,17.6,5.0,晴一時曇,晴時々曇後一時雨,0
2026,2,23,月,17.2,22.9,12.2,晴,曇一時晴,0.0
2026,2,24,火,13.4,18.4,10.6,曇,曇一時晴,0
2026,2,25,水,9.3,12.2,5.8,大雨,雨後一時曇,41.5
2026,2,26,木,8.6,11.8,5.4,曇,曇後一時晴,1.0
2026,2,27,金,11.8,16.8,7.1,曇,曇,0.0
2026,2,28,土,14.3,21.7,10.4,晴一時曇,快晴,0
2026,3,1,日,12.7,19.0,8.3,晴一時薄曇,曇一時晴,0
2026,3,2,月,11.4,13.4,9.2,曇,曇後一時雨,0.0
2026,3,3,火,7.4,11.4,4.6,雨,大雨,31.0
2026,3,4,水,8.9,15.8,4.9,晴時々雨,快晴,25.5
2026,3,5,木,10.1,17.1,6.1,快晴,晴後一時曇,0
2026,3,6,金,9.4,14.3,4.4,曇後一時晴,薄曇後一時雨,0
2026,3,7,土,11.6,17.4,7.7,晴後一時曇,曇一時雨,1.0
2026,3,8,日,7.5,12.1,4.1,快晴,曇時々晴,0
2026,3,9,月,8.1,13.6,4.2,曇一時晴,曇後時々雨,0
2026,3,10,火,4.8,8.2,2.0,雨一時みぞれ後晴,晴一時雨,3.0
2026,3,11,水,6.6,11.9,1.5,晴,曇一時雨,0.0
2026,3,12,木,8.2,13.4,4.8,晴一時曇,晴後一時薄曇,0.0
2026,3,13,金,7.4,10.0,4.1,曇,曇後一時晴,0
2026,3,14,土,9.9,16.0,6.0,晴一時曇,晴,0
2026,3,15,日,10.8,15.8,5.3,晴,曇後雨,0
2026,3,16,月,10.1,14.1,6.9,曇時々晴一時雨,曇,0.0
2026,3,17,火,11.2,16.1,8.3,曇後晴,曇時々晴後一時雨,0
2026,3,18,水,13.2,16.8,9.1,曇一時晴,曇後時々雨,0.5
2026,3,19,木,14.8,19.8,10.0,曇時々雨,曇時々雨一時晴,0.0
2026,3,20,金,9.1,11.2,6.5,雨後一時曇,晴時々薄曇一時雨,6.0
2026,3,21,土,10.6,17.1,4.3,晴,晴,0
2026,3,22,日,11.3,17.1,5.6,曇時々晴,曇,0
2026,3,23,月,12.2,17.5,9.8,雨後晴一時曇,快晴,1.0
2026,3,24,火,12.8,18.1,9.2,晴後一時薄曇,曇,0
2026,3,25,水,11.8,14.4,11.0,曇後雨,雨,16.0
2026,3,26,木,11.7,13.4,10.7,雨時々曇,曇後一時晴,20.5
2026,3,27,金,13.4,18.9,9.7,晴時々曇,雨時々曇,2.5
