É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2025/12/29 09:45:53

,,,,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû
îN,åé,ì˙,ójì˙,ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ìVãCäTãµ(íãÅF06éûÅ`18éû),ìVãCäTãµ(íãÅF06éûÅ`18éû),ìVãCäTãµ(íãÅF06éûÅ`18éû),ìVãCäTãµ(ñÈÅF18éûÅ`óÇì˙06éû),ìVãCäTãµ(ñÈÅF18éûÅ`óÇì˙06éû),ìVãCäTãµ(ñÈÅF18éûÅ`óÇì˙06éû),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm)
,,,,,,,,,,,,,,,,,,,,,,
,,,,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ
1901,1,1,âŒ,6.6,8,1,13.3,8,1,3.1,8,1,,8,1,,8,1,0,1,8,1
1901,1,2,êÖ,6.5,8,1,13.7,8,1,1.5,8,1,,8,1,,8,1,0,1,8,1
1901,1,3,ñÿ,4.8,8,1,12.1,8,1,0.2,8,1,,8,1,,8,1,0,1,8,1
1901,1,4,ã‡,6.0,8,1,10.2,8,1,1.2,8,1,,8,1,,8,1,2.4,0,8,1
1901,1,5,ìy,4.5,8,1,6.4,8,1,3.0,8,1,,8,1,,8,1,37.9,0,8,1
1901,1,6,ì˙,6.9,8,1,9.3,8,1,5.1,8,1,,8,1,,8,1,1.4,0,8,1
1901,1,7,åé,6.0,8,1,8.6,8,1,4.5,8,1,,8,1,,8,1,10.5,0,8,1
1901,1,8,âŒ,4.8,8,1,7.3,8,1,0.5,8,1,,8,1,,8,1,1.9,0,8,1
1901,1,9,êÖ,2.9,8,1,7.4,8,1,-0.5,8,1,,8,1,,8,1,0.0,0,8,1
1901,1,10,ñÿ,3.3,8,1,11.2,8,1,-1.8,8,1,,8,1,,8,1,0,1,8,1
1901,1,11,ã‡,4.2,8,1,11.7,8,1,-2.6,8,1,,8,1,,8,1,0,1,8,1
1901,1,12,ìy,4.0,8,1,8.7,8,1,0.2,8,1,,8,1,,8,1,0,1,8,1
1901,1,13,ì˙,3.1,8,1,8.0,8,1,-0.6,8,1,,8,1,,8,1,0,1,8,1
1901,1,14,åé,3.4,8,1,6.0,8,1,0.6,8,1,,8,1,,8,1,0.2,0,8,1
1901,1,15,âŒ,7.5,8,1,14.1,8,1,3.8,8,1,,8,1,,8,1,0,1,8,1
1901,1,16,êÖ,6.7,8,1,13.1,8,1,0.0,8,1,,8,1,,8,1,1.8,0,8,1
1901,1,17,ñÿ,2.6,8,1,5.9,8,1,0.8,8,1,,8,1,,8,1,12.2,0,8,1
1901,1,18,ã‡,2.1,8,1,5.9,8,1,-1.0,8,1,,8,1,,8,1,0,1,8,1
1901,1,19,ìy,2.4,8,1,8.5,8,1,-3.3,8,1,,8,1,,8,1,0,1,8,1
1901,1,20,ì˙,3.8,8,1,10.5,8,1,-2.1,8,1,,8,1,,8,1,0,1,8,1
1901,1,21,åé,0.9,8,1,2.8,8,1,0.1,8,1,,8,1,,8,1,5.7,0,8,1
1901,1,22,âŒ,4.5,8,1,12.9,8,1,0.4,8,1,,8,1,,8,1,0,1,8,1
1901,1,23,êÖ,5.0,8,1,11.8,8,1,-1.0,8,1,,8,1,,8,1,0,1,8,1
1901,1,24,ñÿ,4.1,8,1,9.0,8,1,-1.0,8,1,,8,1,,8,1,0,1,8,1
1901,1,25,ã‡,3.8,8,1,8.2,8,1,1.2,8,1,,8,1,,8,1,0,1,8,1
1901,1,26,ìy,0.7,8,1,2.7,8,1,-0.9,8,1,,8,1,,8,1,0.4,0,8,1
1901,1,27,ì˙,4.1,8,1,10.5,8,1,-2.3,8,1,,8,1,,8,1,0,1,8,1
1901,1,28,åé,3.4,8,1,7.8,8,1,-0.3,8,1,,8,1,,8,1,0,1,8,1
1901,1,29,âŒ,0.8,8,1,3.2,8,1,-1.4,8,1,,8,1,,8,1,0,1,8,1
1901,1,30,êÖ,4.2,8,1,9.1,8,1,0.2,8,1,,8,1,,8,1,0,1,8,1
1901,1,31,ñÿ,3.3,8,1,8.1,8,1,-0.8,8,1,,8,1,,8,1,0,1,8,1
1901,2,1,ã‡,4.0,8,1,6.5,8,1,2.4,8,1,,8,1,,8,1,0.5,0,8,1
1901,2,2,ìy,1.4,8,1,5.2,8,1,-4.7,8,1,,8,1,,8,1,0,1,8,1
1901,2,3,ì˙,-0.8,8,1,5.7,8,1,-7.9,8,1,,8,1,,8,1,0,1,8,1
1901,2,4,åé,1.0,8,1,7.4,8,1,-4.5,8,1,,8,1,,8,1,0,1,8,1
1901,2,5,âŒ,2.1,8,1,8.1,8,1,-0.9,8,1,,8,1,,8,1,0.0,0,8,1
1901,2,6,êÖ,3.5,8,1,10.5,8,1,-3.2,8,1,,8,1,,8,1,0,1,8,1
1901,2,7,ñÿ,2.2,8,1,5.4,8,1,0.4,8,1,,8,1,,8,1,15.9,0,8,1
1901,2,8,ã‡,3.7,8,1,8.1,8,1,0.3,8,1,,8,1,,8,1,0,1,8,1
1901,2,9,ìy,3.6,8,1,8.8,8,1,-0.6,8,1,,8,1,,8,1,0,1,8,1
1901,2,10,ì˙,2.9,8,1,13.2,8,1,-4.5,8,1,,8,1,,8,1,0,1,8,1
1901,2,11,åé,3.7,8,1,6.5,8,1,1.7,8,1,,8,1,,8,1,1.8,0,8,1
1901,2,12,âŒ,3.8,8,1,9.7,8,1,-0.1,8,1,,8,1,,8,1,0.0,0,8,1
1901,2,13,êÖ,3.5,8,1,9.9,8,1,-3.4,8,1,,8,1,,8,1,0,1,8,1
1901,2,14,ñÿ,4.1,8,1,11.2,8,1,-2.9,8,1,,8,1,,8,1,0,1,8,1
1901,2,15,ã‡,5.1,8,1,11.0,8,1,1.2,8,1,,8,1,,8,1,0,1,8,1
1901,2,16,ìy,3.6,8,1,10.7,8,1,-2.7,8,1,,8,1,,8,1,0,1,8,1
1901,2,17,ì˙,3.8,8,1,10.6,8,1,0.6,8,1,,8,1,,8,1,0.0,0,8,1
1901,2,18,åé,5.0,8,1,11.7,8,1,-0.6,8,1,,8,1,,8,1,0,1,8,1
1901,2,19,âŒ,4.7,8,1,12.0,8,1,-2.3,8,1,,8,1,,8,1,0,1,8,1
1901,2,20,êÖ,5.3,8,1,9.4,8,1,0.5,8,1,,8,1,,8,1,0,1,8,1
1901,2,21,ñÿ,5.3,8,1,10.7,8,1,-0.2,8,1,,8,1,,8,1,0.0,0,8,1
1901,2,22,ã‡,3.5,8,1,9.4,8,1,-1.9,8,1,,8,1,,8,1,0,1,8,1
1901,2,23,ìy,3.2,8,1,9.5,8,1,-1.0,8,1,,8,1,,8,1,0,1,8,1
1901,2,24,ì˙,2.8,8,1,8.3,8,1,-3.3,8,1,,8,1,,8,1,0,1,8,1
1901,2,25,åé,1.9,8,1,5.4,8,1,-0.2,8,1,,8,1,,8,1,12.0,0,8,1
1901,2,26,âŒ,6.1,8,1,11.8,8,1,1.4,8,1,,8,1,,8,1,0,1,8,1
1901,2,27,êÖ,6.6,8,1,12.9,8,1,0.4,8,1,,8,1,,8,1,0,1,8,1
1901,2,28,ñÿ,8.6,8,1,17.3,8,1,-0.4,8,1,,8,1,,8,1,0,1,8,1
1901,3,1,ã‡,6.4,8,1,9.5,8,1,3.6,8,1,,8,1,,8,1,0,1,8,1
1901,3,2,ìy,5.0,8,1,10.0,8,1,0.8,8,1,,8,1,,8,1,1.0,0,8,1
1901,3,3,ì˙,1.1,8,1,5.2,8,1,-1.3,8,1,,8,1,,8,1,0.6,0,8,1
1901,3,4,åé,2.9,8,1,8.6,8,1,-1.1,8,1,,8,1,,8,1,0.0,0,8,1
1901,3,5,âŒ,4.8,8,1,11.6,8,1,-0.8,8,1,,8,1,,8,1,0,1,8,1
1901,3,6,êÖ,5.6,8,1,11.2,8,1,-0.4,8,1,,8,1,,8,1,0,1,8,1
1901,3,7,ñÿ,5.2,8,1,10.0,8,1,1.2,8,1,,8,1,,8,1,10.5,0,8,1
1901,3,8,ã‡,4.8,8,1,10.0,8,1,-1.7,8,1,,8,1,,8,1,0,1,8,1
1901,3,9,ìy,7.4,8,1,15.3,8,1,-0.2,8,1,,8,1,,8,1,0,1,8,1
1901,3,10,ì˙,9.2,8,1,15.9,8,1,1.3,8,1,,8,1,,8,1,5.9,0,8,1
1901,3,11,åé,9.0,8,1,12.4,8,1,4.5,8,1,,8,1,,8,1,9.8,0,8,1
1901,3,12,âŒ,5.9,8,1,11.1,8,1,0.7,8,1,,8,1,,8,1,0.0,0,8,1
1901,3,13,êÖ,1.6,8,1,7.4,8,1,-2.9,8,1,,8,1,,8,1,0,1,8,1
1901,3,14,ñÿ,2.9,8,1,9.5,8,1,-3.7,8,1,,8,1,,8,1,0,1,8,1
1901,3,15,ã‡,6.4,8,1,11.5,8,1,0.8,8,1,,8,1,,8,1,0,1,8,1
1901,3,16,ìy,6.7,8,1,14.5,8,1,1.4,8,1,,8,1,,8,1,7.6,0,8,1
1901,3,17,ì˙,4.4,8,1,9.8,8,1,0.8,8,1,,8,1,,8,1,0,1,8,1
1901,3,18,åé,6.6,8,1,14.0,8,1,1.1,8,1,,8,1,,8,1,0,1,8,1
1901,3,19,âŒ,7.2,8,1,13.6,8,1,2.2,8,1,,8,1,,8,1,0,1,8,1
1901,3,20,êÖ,8.9,8,1,15.4,8,1,1.5,8,1,,8,1,,8,1,0,1,8,1
1901,3,21,ñÿ,10.7,8,1,18.1,8,1,2.3,8,1,,8,1,,8,1,0,1,8,1
1901,3,22,ã‡,11.9,8,1,19.3,8,1,7.0,8,1,,8,1,,8,1,0,1,8,1
1901,3,23,ìy,8.3,8,1,11.5,8,1,6.4,8,1,,8,1,,8,1,0.0,0,8,1
1901,3,24,ì˙,6.4,8,1,8.3,8,1,4.6,8,1,,8,1,,8,1,19.6,0,8,1
1901,3,25,åé,9.9,8,1,16.4,8,1,2.5,8,1,,8,1,,8,1,0,1,8,1
1901,3,26,âŒ,11.7,8,1,19.8,8,1,2.2,8,1,,8,1,,8,1,0,1,8,1
1901,3,27,êÖ,11.3,8,1,17.8,8,1,6.1,8,1,,8,1,,8,1,0,1,8,1
1901,3,28,ñÿ,13.3,8,1,19.0,8,1,7.8,8,1,,8,1,,8,1,0,1,8,1
1901,3,29,ã‡,14.6,8,1,19.8,8,1,10.0,8,1,,8,1,,8,1,14.9,0,8,1
1901,3,30,ìy,8.0,8,1,12.0,8,1,5.6,8,1,,8,1,,8,1,61.3,0,8,1
1901,3,31,ì˙,7.3,8,1,11.6,8,1,3.8,8,1,,8,1,,8,1,0,1,8,1
1901,4,1,åé,8.8,8,1,14.4,8,1,3.4,8,1,,8,1,,8,1,0,1,8,1
1901,4,2,âŒ,11.2,8,1,17.1,8,1,4.6,8,1,,8,1,,8,1,0,1,8,1
1901,4,3,êÖ,13.4,8,1,16.5,8,1,10.8,8,1,,8,1,,8,1,0,1,8,1
1901,4,4,ñÿ,14.3,8,1,16.6,8,1,11.0,8,1,,8,1,,8,1,12.6,0,8,1
