ダウンロードした時刻：2025/12/29 09:27:19

,,,,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
年,月,日,曜日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm)
,,,,,,,,,,,,,,,,,,,,,,
,,,,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号
2021,1,1,金,4.4,8,1,10.5,8,1,-1.3,8,1,快晴,8,1,快晴,8,1,0,1,8,1
2021,1,2,土,4.8,8,1,10.8,8,1,0.1,8,1,快晴,8,1,晴,8,1,0,1,8,1
2021,1,3,日,3.7,8,1,8.4,8,1,-0.4,8,1,晴,8,1,薄曇,8,1,0,1,8,1
2021,1,4,月,5.8,8,1,11.4,8,1,1.3,8,1,晴一時曇,8,1,晴後一時薄曇,8,1,0,1,8,1
2021,1,5,火,6.0,8,1,10.0,8,1,2.5,8,1,曇,8,1,曇,8,1,0,1,8,1
2021,1,6,水,5.3,8,1,6.8,8,1,3.9,8,1,曇,8,1,曇,8,1,0.0,0,8,1
2021,1,7,木,6.3,8,1,12.7,8,1,2.0,8,1,晴一時曇,8,1,晴一時曇,8,1,0,1,8,1
2021,1,8,金,2.4,8,1,6.5,8,1,-1.5,8,1,晴時々曇,8,1,晴,8,1,0,1,8,1
2021,1,9,土,2.9,8,1,8.4,8,1,-1.5,8,1,晴,8,1,快晴,8,1,0,1,8,1
2021,1,10,日,2.6,8,1,8.1,8,1,-2.4,8,1,快晴,8,1,曇後晴,8,1,0,1,8,1
2021,1,11,月,2.3,8,1,6.5,8,1,-1.3,8,1,曇,8,1,曇,8,1,0,1,8,1
2021,1,12,火,3.4,8,1,5.7,8,1,1.2,8,1,曇後雨一時みぞれ,8,1,曇後晴,8,1,0.0,0,8,1
2021,1,13,水,5.8,8,1,12.5,8,1,-0.5,8,1,快晴,8,1,晴,8,1,0,1,8,1
2021,1,14,木,7.9,8,1,14.5,8,1,0.9,8,1,快晴,8,1,晴後一時曇,8,1,0,1,8,1
2021,1,15,金,6.6,8,1,7.6,8,1,4.9,8,1,曇,8,1,曇後一時晴,8,1,0.0,0,8,1
2021,1,16,土,10.0,8,1,18.7,8,1,4.3,8,1,晴,8,1,薄曇一時晴,8,1,0,1,8,1
2021,1,17,日,6.1,8,1,8.0,8,1,4.1,8,1,曇,8,1,曇,8,1,0,1,8,1
2021,1,18,月,4.3,8,1,8.6,8,1,1.0,8,1,曇後晴,8,1,快晴,8,1,0,1,8,1
2021,1,19,火,4.4,8,1,9.5,8,1,1.0,8,1,快晴,8,1,快晴,8,1,0,1,8,1
2021,1,20,水,3.9,8,1,9.5,8,1,0.2,8,1,快晴,8,1,快晴,8,1,0,1,8,1
2021,1,21,木,4.8,8,1,10.7,8,1,-0.3,8,1,晴,8,1,晴時々薄曇,8,1,0,1,8,1
2021,1,22,金,8.7,8,1,16.0,8,1,1.2,8,1,晴後一時曇,8,1,曇,8,1,0,1,8,1
2021,1,23,土,6.4,8,1,10.2,8,1,2.7,8,1,雨一時曇,8,1,雨,8,1,19.0,0,8,1
2021,1,24,日,4.3,8,1,6.5,8,1,2.3,8,1,雨時々曇,8,1,雨時々曇後一時晴,8,1,13.0,0,8,1
2021,1,25,月,7.6,8,1,13.2,8,1,3.8,8,1,薄曇一時晴,8,1,晴,8,1,1.5,0,8,1
2021,1,26,火,7.5,8,1,11.2,8,1,2.7,8,1,曇一時晴,8,1,曇後雨,8,1,0,1,8,1
2021,1,27,水,10.3,8,1,16.2,8,1,6.4,8,1,曇後一時晴,8,1,曇時々晴,8,1,1.0,0,8,1
2021,1,28,木,4.4,8,1,7.9,8,1,0.9,8,1,曇後雨一時みぞれ,8,1,曇一時雨,8,1,9.0,0,8,1
2021,1,29,金,5.3,8,1,10.8,8,1,0.7,8,1,晴,8,1,快晴,8,1,0,1,8,1
2021,1,30,土,4.1,8,1,9.3,8,1,0.9,8,1,快晴,8,1,快晴,8,1,0,1,8,1
2021,1,31,日,5.4,8,1,11.9,8,1,-0.4,8,1,快晴,8,1,晴後曇,8,1,0,1,8,1
2021,2,1,月,7.2,8,1,14.0,8,1,1.8,8,1,曇時々晴、あられを伴う,8,1,晴時々曇後雨,8,1,0.0,0,8,1
2021,2,2,火,8.8,8,1,15.6,8,1,4.3,8,1,晴時々曇一時雨,8,1,晴一時曇,8,1,12.0,0,8,1
2021,2,3,水,6.2,8,1,11.8,8,1,1.0,8,1,晴,8,1,晴,8,1,0,1,8,1
2021,2,4,木,7.0,8,1,12.6,8,1,0.6,8,1,快晴,8,1,快晴,8,1,0,1,8,1
2021,2,5,金,7.1,8,1,12.4,8,1,1.9,8,1,晴一時薄曇,8,1,曇一時晴,8,1,0,1,8,1
2021,2,6,土,8.9,8,1,15.0,8,1,4.2,8,1,快晴,8,1,快晴,8,1,0,1,8,1
2021,2,7,日,9.9,8,1,16.3,8,1,4.4,8,1,晴後一時曇,8,1,晴,8,1,0.0,0,8,1
2021,2,8,月,6.1,8,1,11.0,8,1,2.8,8,1,曇時々晴,8,1,晴一時曇,8,1,0,1,8,1
2021,2,9,火,4.7,8,1,9.6,8,1,0.8,8,1,快晴,8,1,快晴,8,1,0,1,8,1
2021,2,10,水,6.7,8,1,12.1,8,1,1.7,8,1,晴後薄曇,8,1,晴一時薄曇,8,1,0,1,8,1
2021,2,11,木,8.7,8,1,14.1,8,1,3.3,8,1,晴後時々薄曇,8,1,薄曇,8,1,0,1,8,1
2021,2,12,金,7.8,8,1,11.7,8,1,3.4,8,1,薄曇,8,1,曇,8,1,0,1,8,1
2021,2,13,土,10.4,8,1,16.2,8,1,4.9,8,1,晴時々薄曇,8,1,晴時々曇,8,1,0,1,8,1
2021,2,14,日,12.3,8,1,18.2,8,1,6.8,8,1,晴時々曇,8,1,曇時々晴後一時雨,8,1,0,1,8,1
2021,2,15,月,11.4,8,1,14.1,8,1,8.3,8,1,大雨,8,1,快晴,8,1,76.5,0,8,1
2021,2,16,火,10.6,8,1,16.4,8,1,5.1,8,1,快晴,8,1,快晴,8,1,0,1,8,1
2021,2,17,水,7.6,8,1,13.1,8,1,2.2,8,1,晴後一時曇,8,1,快晴,8,1,0.0,0,8,1
2021,2,18,木,4.3,8,1,10.4,8,1,-0.5,8,1,晴後曇,8,1,晴,8,1,0,1,8,1
2021,2,19,金,6.9,8,1,12.3,8,1,1.4,8,1,快晴,8,1,快晴,8,1,0,1,8,1
2021,2,20,土,10.2,8,1,18.1,8,1,1.4,8,1,快晴,8,1,快晴,8,1,0,1,8,1
2021,2,21,日,13.9,8,1,20.9,8,1,7.3,8,1,快晴,8,1,快晴,8,1,0,1,8,1
2021,2,22,月,14.9,8,1,21.9,8,1,7.7,8,1,快晴,8,1,晴一時薄曇,8,1,0,1,8,1
2021,2,23,火,11.0,8,1,15.5,8,1,5.5,8,1,晴後一時薄曇,8,1,曇,8,1,0,1,8,1
2021,2,24,水,6.4,8,1,11.9,8,1,3.2,8,1,晴時々薄曇,8,1,晴一時曇,8,1,0,1,8,1
2021,2,25,木,6.6,8,1,11.3,8,1,1.5,8,1,晴時々薄曇,8,1,曇,8,1,0,1,8,1
2021,2,26,金,8.7,8,1,11.8,8,1,5.6,8,1,曇,8,1,曇,8,1,0,1,8,1
2021,2,27,土,5.7,8,1,9.6,8,1,2.1,8,1,薄曇後晴,8,1,快晴,8,1,0,1,8,1
2021,2,28,日,6.6,8,1,12.9,8,1,0.3,8,1,晴一時薄曇,8,1,曇時々晴,8,1,0,1,8,1
2021,3,1,月,11.8,8,1,19.1,8,1,4.6,8,1,薄曇一時晴,8,1,曇時々雨,8,1,0.5,0,8,1
2021,3,2,火,13.5,8,1,19.8,8,1,7.9,8,1,雨時々曇,8,1,曇時々雨後晴,8,1,9.5,0,8,1
2021,3,3,水,7.4,8,1,11.8,8,1,3.8,8,1,晴,8,1,晴時々薄曇,8,1,0,1,8,1
2021,3,4,木,9.0,8,1,15.0,8,1,2.3,8,1,晴後薄曇,8,1,曇,8,1,0,1,8,1
2021,3,5,金,11.8,8,1,17.4,8,1,8.4,8,1,曇後一時雨,8,1,雨後時々曇,8,1,2.0,0,8,1
2021,3,6,土,13.8,8,1,21.0,8,1,9.6,8,1,曇,8,1,曇,8,1,0.5,0,8,1
2021,3,7,日,7.8,8,1,10.3,8,1,5.8,8,1,曇,8,1,曇後雨,8,1,0,1,8,1
2021,3,8,月,6.6,8,1,7.7,8,1,5.1,8,1,雨一時曇,8,1,曇,8,1,5.5,0,8,1
2021,3,9,火,9.6,8,1,13.7,8,1,5.7,8,1,曇一時雨,8,1,曇一時晴,8,1,0.0,0,8,1
2021,3,10,水,12.0,8,1,19.4,8,1,6.8,8,1,晴,8,1,晴,8,1,0,1,8,1
2021,3,11,木,9.9,8,1,15.4,8,1,4.2,8,1,快晴,8,1,薄曇,8,1,0,1,8,1
2021,3,12,金,12.7,8,1,18.0,8,1,7.5,8,1,曇,8,1,曇後雨,8,1,0.0,0,8,1
2021,3,13,土,11.1,8,1,13.9,8,1,8.1,8,1,大雨、雷を伴う,8,1,晴時々曇一時雨,8,1,65.0,0,8,1
2021,3,14,日,12.5,8,1,18.2,8,1,8.1,8,1,快晴,8,1,快晴,8,1,0,1,8,1
2021,3,15,月,12.9,8,1,19.5,8,1,8.3,8,1,快晴,8,1,晴一時曇,8,1,0,1,8,1
2021,3,16,火,14.5,8,1,22.0,8,1,7.6,8,1,薄曇時々晴,8,1,晴,8,1,0,1,8,1
2021,3,17,水,13.7,8,1,20.1,8,1,9.0,8,1,晴後薄曇,8,1,快晴,8,1,0,1,8,1
2021,3,18,木,12.3,8,1,17.7,8,1,6.6,8,1,快晴,8,1,曇一時晴,8,1,0,1,8,1
2021,3,19,金,12.9,8,1,18.9,8,1,9.5,8,1,晴時々薄曇,8,1,曇,8,1,0,1,8,1
2021,3,20,土,14.1,8,1,18.6,8,1,10.8,8,1,曇,8,1,曇後雨,8,1,0.0,0,8,1
2021,3,21,日,16.7,8,1,19.7,8,1,12.6,8,1,大雨,8,1,曇時々雨後一時晴,8,1,46.5,0,8,1
2021,3,22,月,12.1,8,1,15.6,8,1,7.5,8,1,曇後一時雨,8,1,雨後晴,8,1,0.5,0,8,1
2021,3,23,火,10.8,8,1,15.8,8,1,5.3,8,1,快晴,8,1,快晴,8,1,0.0,0,8,1
2021,3,24,水,13.8,8,1,20.5,8,1,6.7,8,1,晴時々薄曇,8,1,薄曇,8,1,0,1,8,1
