ダウンロードした時刻：2026/01/10 14:14:24

,,,,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
年,月,日,曜日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm)
,,,,,,,,,,,,,,,,,,,,,,
,,,,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号
2025,12,28,日,5.4,8,1,12.0,8,1,-0.3,8,1,快晴,8,1,曇時々晴,8,1,0,1,8,1
2025,12,29,月,7.1,8,1,12.5,8,1,3.4,8,1,晴一時曇,8,1,快晴,8,1,0.0,0,8,1
2025,12,30,火,8.7,8,1,15.3,8,1,2.8,8,1,晴,8,1,晴時々曇,8,1,0,1,8,1
2025,12,31,水,8.0,8,1,13.3,8,1,3.9,8,1,晴一時薄曇,8,1,薄曇後一時晴,8,1,0,1,8,1
2026,1,1,木,6.5,8,1,10.3,8,1,3.8,8,1,晴一時曇,8,1,曇時々晴,8,1,0,1,8,1
2026,1,2,金,4.8,8,1,10.0,8,1,0.5,8,1,晴時々曇,8,1,雪時々みぞれ後晴、あられを伴う,8,1,7.5,0,8,1
2026,1,3,土,3.7,8,1,8.9,8,1,-0.5,8,1,快晴,8,1,快晴,8,1,0,1,8,1
2026,1,4,日,6.0,8,1,11.2,8,1,1.2,8,1,快晴,8,1,快晴,8,1,0,1,8,1
2026,1,5,月,6.7,8,1,12.8,8,1,1.1,8,1,晴一時曇,8,1,晴時々曇,8,1,0,1,8,1
2026,1,6,火,6.3,8,1,11.0,8,1,3.1,8,1,晴,8,1,晴後曇一時みぞれ,8,1,0,1,8,1
2026,1,7,水,3.8,8,1,6.4,8,1,1.2,8,1,曇後一時晴、みぞれを伴う,8,1,快晴,8,1,0.0,0,8,1
2026,1,8,木,4.7,8,1,11.3,8,1,-0.3,8,1,晴,8,1,快晴,8,1,0,1,8,1
2026,1,9,金,6.0,8,1,10.3,8,1,1.7,8,1,快晴,8,1,曇一時雨後時々晴,8,1,0.0,0,8,1
