,,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025, ,1981-2010 mean,1981-2010 median
January,1,,7.435,6.162,6.712,7.521,6.709,7.394,7.439,8.159,7.168,,7.503,7.026,7.411,7.116,6.619,6.933,7.617,8.058,6.428,6.622,7.044,7.426,6.99,7.396,7.924,7.634,7.124,6.517,7.012,9.455,8.361,7.909,7.375,7.911,7.396,8.902,9.608,7.503,5.773,6.697,5.587,6.584,6.927,6.021,4.996,6.373,7.21,,7.353,7.394
,2,,7.272,6.046,6.479,7.36,6.608,7.244,7.135,7.925,7.034,,7.237,6.894,7.233,6.885,6.422,6.812,7.497,7.902,6.27,6.408,6.801,7.179,6.821,7.182,7.735,7.505,6.988,6.376,6.844,9.283,8.113,7.66,7.118,7.747,7.233,8.721,9.496,7.228,5.643,6.546,5.448,6.434,6.782,5.823,4.794,6.185,7.078,,7.167,7.135
,3,,7.114,5.922,6.249,7.182,6.462,7.072,6.849,7.807,6.908,,7.014,6.756,7.074,6.666,6.245,6.71,7.365,7.74,6.117,6.215,6.575,6.907,6.662,6.943,7.564,7.349,6.842,6.208,6.658,9.089,7.927,7.379,6.897,7.602,7.093,8.55,9.387,6.98,5.515,6.403,5.301,6.281,6.629,5.621,4.641,6.032,6.946,,6.984,6.907
,4,,7.022,5.821,6.057,7.018,6.339,6.932,6.586,7.645,6.758,,6.761,6.609,6.941,6.455,6.074,6.6,7.224,7.602,5.942,6.052,6.387,6.659,6.495,6.714,7.42,7.178,6.708,6.017,6.498,8.88,7.756,7.128,6.709,7.454,6.98,8.403,9.262,6.764,5.387,6.251,5.156,6.131,6.473,5.445,4.494,5.899,6.797,,6.808,6.708
,5,,6.891,5.742,5.821,6.864,6.182,6.798,6.294,7.511,6.611,,6.509,6.471,6.804,6.281,5.905,6.455,7.086,7.508,5.732,5.882,6.23,6.426,6.347,6.457,7.298,6.999,6.563,5.828,6.346,8.692,7.6,6.882,6.543,7.322,6.851,8.238,9.125,6.57,5.27,6.086,5.009,6.006,6.333,5.265,4.345,5.748,6.628,,6.634,6.471
,6,,6.807,5.629,5.571,6.707,6.019,6.631,6.084,7.408,6.503,,6.243,6.346,6.652,6.108,5.736,6.319,6.96,7.395,5.551,5.706,6.102,6.196,6.198,6.228,7.186,6.823,6.42,5.624,6.186,8.484,7.427,6.61,6.399,7.189,6.735,8.071,8.991,6.39,5.155,5.946,4.882,5.896,6.187,5.089,4.221,5.584,6.455,,6.463,6.319
,7,,6.738,5.529,5.444,6.541,5.9,6.475,5.863,7.209,6.372,,6.018,6.216,6.51,5.957,5.595,6.207,6.83,7.279,5.367,5.556,5.982,5.992,6.076,6.043,7.069,6.639,6.255,5.425,6.028,8.274,7.275,6.351,6.242,7.035,6.632,7.882,8.845,6.214,5.048,5.783,4.77,5.792,6.031,4.953,4.094,5.424,6.288,,6.302,6.207
,8,,6.582,5.456,5.271,6.389,5.765,6.295,5.679,7.027,6.242,,5.778,6.08,6.376,5.816,5.463,6.061,6.699,7.161,5.177,5.42,5.879,5.818,5.972,5.869,6.947,6.499,6.077,5.247,5.875,8.088,7.133,6.123,6.067,6.886,6.53,7.692,8.699,6.047,4.958,5.593,4.668,5.685,5.876,4.831,3.971,5.251,6.11,,6.146,6.061
,9,,6.454,5.304,5.106,6.239,5.611,6.116,5.487,6.778,6.134,,5.587,5.923,6.238,5.676,5.359,5.918,6.564,7.055,5.008,5.272,5.759,5.645,5.885,5.694,6.823,6.404,5.877,5.069,5.727,7.905,6.985,5.891,5.885,6.745,6.415,7.503,8.546,5.895,4.861,5.412,4.557,5.557,5.736,4.7,3.855,5.085,5.939,,5.991,5.885
,10,,6.348,5.164,4.983,6.113,5.482,5.954,5.303,6.545,5.94,,5.43,5.768,6.114,5.53,5.241,5.791,6.425,6.929,4.871,5.128,5.635,5.487,5.787,5.545,6.689,6.33,5.679,4.891,5.577,7.698,6.846,5.674,5.7,6.591,6.313,7.341,8.388,5.718,4.748,5.206,4.448,5.415,5.619,4.59,3.759,4.93,5.801,,5.841,5.679
