month,date,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025, ,1981-2010 mean,1981-2010 median
January,1,,,5.967,6.323,,6.508,,,7.718,,,7.084,6.771,7.095,6.656,6.284,6.724,7.41,7.729,6.087,6.238,6.528,6.923,6.678,6.956,7.496,7.374,6.822,6.257,6.713,9.12,8.007,7.456,6.843,7.572,7.121,8.546,9.393,6.911,5.516,6.384,5.314,6.285,6.599,5.651,4.575,6.009,6.973,,6.999,6.908
,2,,6.945,,,7.039,,6.944,6.527,,6.765,,6.682,6.621,6.928,6.458,6.079,6.527,7.256,7.618,5.962,6.033,6.362,6.667,6.491,6.661,7.398,7.275,6.721,6.038,6.478,8.93,7.772,7.161,6.693,7.466,6.935,8.41,9.273,6.721,5.387,6.244,5.136,6.129,6.48,5.412,4.499,5.871,6.774,,6.808,6.667
,3,,,5.674,5.791,,6.17,,,7.572,,,6.563,6.449,6.795,6.278,5.884,6.501,7.022,7.483,5.788,5.86,6.191,6.349,6.332,6.463,7.304,6.988,6.537,5.778,6.312,8.632,7.585,6.812,6.554,7.346,6.841,8.243,9.154,6.554,5.232,6.114,4.968,5.967,6.358,5.268,4.378,5.788,6.691,,6.621,6.501
,4,,6.838,,,6.689,,6.653,6.061,,6.458,,6.217,6.316,6.684,6.053,5.721,6.356,6.903,7.344,5.539,5.737,6.088,6.215,6.152,6.259,7.195,6.766,6.45,5.606,6.15,8.463,7.385,6.617,6.384,7.166,6.756,8.114,8.983,6.413,5.149,5.921,4.876,5.876,6.204,5.092,4.21,5.679,6.488,,6.451,6.316
,5,,,5.584,5.351,,5.869,,,7.243,,,5.999,6.198,6.519,5.963,5.555,6.166,6.84,7.367,5.287,5.541,5.983,5.978,6.08,5.947,7.096,6.59,6.284,5.459,6.076,8.313,7.251,6.366,6.241,7.061,6.601,7.88,8.821,6.25,5.065,5.768,4.75,5.774,6.027,4.899,4.065,5.392,6.213,,6.296,6.166
,6,,6.638,,,6.393,,6.296,5.665,,6.287,,5.754,6.147,6.336,5.788,5.439,6.046,6.779,7.161,5.178,5.361,5.887,5.771,5.937,5.811,6.939,6.495,6.109,5.237,5.912,8.082,7.14,6.094,6.124,6.906,6.543,7.711,8.724,6.014,4.94,5.681,4.677,5.734,5.868,4.775,3.951,5.189,6.107,,6.142,6.046
,7,,,5.329,5.191,,5.66,,,6.811,,,5.56,5.968,6.216,5.702,5.374,5.964,6.605,7.041,5.045,5.28,5.762,5.647,5.88,5.733,6.813,6.358,5.895,5.046,5.688,7.878,7.013,5.863,5.91,6.696,6.416,7.463,8.544,5.841,4.854,5.429,4.578,5.611,5.701,4.73,3.867,5.073,5.94,,5.999,5.88
,8,,6.27,,,6.084,,5.935,5.31,,5.981,,5.362,5.771,6.127,5.574,5.227,5.772,6.368,6.891,4.837,5.18,5.677,5.478,5.81,5.597,6.693,6.289,5.647,4.89,5.546,7.704,6.876,5.676,5.678,6.6,6.334,7.295,8.423,5.719,4.781,5.168,4.461,5.432,5.582,4.66,3.764,4.921,5.804,,5.838,5.677
,9,,,5,4.775,,5.305,,,6.28,,,5.261,5.53,5.993,5.354,5.2,5.642,6.228,6.815,4.692,4.997,5.487,5.348,5.716,5.38,6.576,6.289,5.449,4.714,5.411,7.549,6.645,5.454,5.473,6.465,6.179,7.167,8.216,5.649,4.664,5.012,4.318,5.235,5.503,4.437,3.628,4.852,5.633,,5.68,5.487
,10,,6.138,,,5.862,,5.629,4.934,,5.552,,5.213,5.425,5.9,5.229,4.965,5.53,6.148,6.737,4.604,4.822,5.363,5.191,5.589,5.205,6.427,6.219,5.294,4.566,5.33,7.277,6.558,5.285,5.312,6.29,6.095,7.068,8.033,5.365,4.498,4.738,4.207,5.065,5.443,4.35,3.582,4.613,5.523,,5.547,5.363
